sentence_id,word,tag
21,Patients,O
21,experienced,O
21,fatigue,B-SYMPTOM
21,during,O
21,the,O
21,course,O
21,of,O
21,75mg,B-DOSAGE
21,of,O
21,DrugB,O
22,Patients,O
22,experienced,O
22,fatigue,B-SYMPTOM
22,post-treatment,O
22,with,O
22,100mg,B-DOSAGE
22,of,O
22,DrugB,O
23,Patients,O
23,experienced,O
23,nausea,B-SYMPTOM
23,following,O
23,5mg,B-DOSAGE
23,of,O
23,DrugX,O
24,Patients,O
24,experienced,O
24,fatigue,B-SYMPTOM
24,after,O
24,administration,O
24,of,O
24,500mg,B-DOSAGE
24,of,O
24,DrugC,O
25,Patients,O
25,experienced,O
25,nausea,B-SYMPTOM
25,following,O
25,10mg,B-DOSAGE
25,of,O
25,DrugB,O
26,Patients,O
26,experienced,O
26,cough,B-SYMPTOM
26,post-treatment,O
26,with,O
26,200mg,B-DOSAGE
26,of,O
26,DrugY,O
27,Patients,O
27,experienced,O
27,cough,B-SYMPTOM
27,after,O
27,taking,O
27,10mg,B-DOSAGE
27,of,O
27,DrugZ,O
28,Patients,O
28,experienced,O
28,fatigue,B-SYMPTOM
28,during,O
28,the,O
28,course,O
28,of,O
28,10mg,B-DOSAGE
28,of,O
28,DrugX,O
29,Patients,O
29,experienced,O
29,vomiting,B-SYMPTOM
29,after,O
29,administration,O
29,of,O
29,200mg,B-DOSAGE
29,of,O
29,DrugB,O
30,Patients,O
30,experienced,O
30,dizziness,B-SYMPTOM
30,after,O
30,administration,O
30,of,O
30,250mg,B-DOSAGE
30,of,O
30,DrugZ,O
31,Patients,O
31,experienced,O
31,vomiting,B-SYMPTOM
31,during,O
31,the,O
31,course,O
31,of,O
31,250mg,B-DOSAGE
31,of,O
31,DrugC,O
32,Patients,O
32,experienced,O
32,vomiting,B-SYMPTOM
32,following,O
32,75mg,B-DOSAGE
32,of,O
32,DrugY,O
33,Patients,O
33,experienced,O
33,vomiting,B-SYMPTOM
33,during,O
33,the,O
33,course,O
33,of,O
33,5mg,B-DOSAGE
33,of,O
33,DrugB,O
34,Patients,O
34,experienced,O
34,dizziness,B-SYMPTOM
34,after,O
34,taking,O
34,5mg,B-DOSAGE
34,of,O
34,DrugY,O
35,Patients,O
35,experienced,O
35,nausea,B-SYMPTOM
35,following,O
35,5mg,B-DOSAGE
35,of,O
35,DrugB,O
36,Patients,O
36,experienced,O
36,headache,B-SYMPTOM
36,after,O
36,administration,O
36,of,O
36,75mg,B-DOSAGE
36,of,O
36,DrugD,O
37,Patients,O
37,experienced,O
37,rash,B-SYMPTOM
37,post-treatment,O
37,with,O
37,5mg,B-DOSAGE
37,of,O
37,DrugA,O
38,Patients,O
38,experienced,O
38,cough,B-SYMPTOM
38,post-treatment,O
38,with,O
38,100mg,B-DOSAGE
38,of,O
38,DrugB,O
39,Patients,O
39,experienced,O
39,headache,B-SYMPTOM
39,during,O
39,the,O
39,course,O
39,of,O
39,50mg,B-DOSAGE
39,of,O
39,DrugD,O
40,Patients,O
40,experienced,O
40,rash,B-SYMPTOM
40,after,O
40,administration,O
40,of,O
40,100mg,B-DOSAGE
40,of,O
40,DrugX,O
41,Patients,O
41,experienced,O
41,rash,B-SYMPTOM
41,during,O
41,the,O
41,course,O
41,of,O
41,50mg,B-DOSAGE
41,of,O
41,DrugB,O
42,Patients,O
42,experienced,O
42,nausea,B-SYMPTOM
42,post-treatment,O
42,with,O
42,10mg,B-DOSAGE
42,of,O
42,DrugZ,O
43,Patients,O
43,experienced,O
43,fatigue,B-SYMPTOM
43,after,O
43,taking,O
43,10mg,B-DOSAGE
43,of,O
43,DrugE,O
44,Patients,O
44,experienced,O
44,vomiting,B-SYMPTOM
44,during,O
44,the,O
44,course,O
44,of,O
44,200mg,B-DOSAGE
44,of,O
44,DrugX,O
45,Patients,O
45,experienced,O
45,nausea,B-SYMPTOM
45,post-treatment,O
45,with,O
45,100mg,B-DOSAGE
45,of,O
45,DrugB,O
46,Patients,O
46,experienced,O
46,headache,B-SYMPTOM
46,post-treatment,O
46,with,O
46,75mg,B-DOSAGE
46,of,O
46,DrugZ,O
47,Patients,O
47,experienced,O
47,nausea,B-SYMPTOM
47,after,O
47,administration,O
47,of,O
47,10mg,B-DOSAGE
47,of,O
47,DrugZ,O
48,Patients,O
48,experienced,O
48,nausea,B-SYMPTOM
48,during,O
48,the,O
48,course,O
48,of,O
48,500mg,B-DOSAGE
48,of,O
48,DrugE,O
49,Patients,O
49,experienced,O
49,cough,B-SYMPTOM
49,following,O
49,5mg,B-DOSAGE
49,of,O
49,DrugC,O
50,Patients,O
50,experienced,O
50,rash,B-SYMPTOM
50,after,O
50,taking,O
50,250mg,B-DOSAGE
50,of,O
50,DrugC,O
51,Patients,O
51,experienced,O
51,fatigue,B-SYMPTOM
51,following,O
51,50mg,B-DOSAGE
51,of,O
51,DrugA,O
52,Patients,O
52,experienced,O
52,rash,B-SYMPTOM
52,post-treatment,O
52,with,O
52,100mg,B-DOSAGE
52,of,O
52,DrugE,O
53,Patients,O
53,experienced,O
53,dizziness,B-SYMPTOM
53,after,O
53,taking,O
53,75mg,B-DOSAGE
53,of,O
53,DrugB,O
54,Patients,O
54,experienced,O
54,vomiting,B-SYMPTOM
54,following,O
54,5mg,B-DOSAGE
54,of,O
54,DrugX,O
55,Patients,O
55,experienced,O
55,vomiting,B-SYMPTOM
55,post-treatment,O
55,with,O
55,100mg,B-DOSAGE
55,of,O
55,DrugA,O
56,Patients,O
56,experienced,O
56,nausea,B-SYMPTOM
56,after,O
56,taking,O
56,10mg,B-DOSAGE
56,of,O
56,DrugC,O
57,Patients,O
57,experienced,O
57,nausea,B-SYMPTOM
57,post-treatment,O
57,with,O
57,250mg,B-DOSAGE
57,of,O
57,DrugC,O
58,Patients,O
58,experienced,O
58,nausea,B-SYMPTOM
58,after,O
58,administration,O
58,of,O
58,50mg,B-DOSAGE
58,of,O
58,DrugY,O
59,Patients,O
59,experienced,O
59,fever,B-SYMPTOM
59,during,O
59,the,O
59,course,O
59,of,O
59,200mg,B-DOSAGE
59,of,O
59,DrugE,O
60,Patients,O
60,experienced,O
60,cough,B-SYMPTOM
60,after,O
60,taking,O
60,10mg,B-DOSAGE
60,of,O
60,DrugZ,O
61,Patients,O
61,experienced,O
61,rash,B-SYMPTOM
61,post-treatment,O
61,with,O
61,50mg,B-DOSAGE
61,of,O
61,DrugE,O
62,Patients,O
62,experienced,O
62,fatigue,B-SYMPTOM
62,post-treatment,O
62,with,O
62,500mg,B-DOSAGE
62,of,O
62,DrugA,O
63,Patients,O
63,experienced,O
63,vomiting,B-SYMPTOM
63,following,O
63,10mg,B-DOSAGE
63,of,O
63,DrugZ,O
64,Patients,O
64,experienced,O
64,headache,B-SYMPTOM
64,after,O
64,administration,O
64,of,O
64,75mg,B-DOSAGE
64,of,O
64,DrugX,O
65,Patients,O
65,experienced,O
65,fever,B-SYMPTOM
65,after,O
65,administration,O
65,of,O
65,10mg,B-DOSAGE
65,of,O
65,DrugE,O
66,Patients,O
66,experienced,O
66,headache,B-SYMPTOM
66,post-treatment,O
66,with,O
66,50mg,B-DOSAGE
66,of,O
66,DrugD,O
67,Patients,O
67,experienced,O
67,fatigue,B-SYMPTOM
67,after,O
67,administration,O
67,of,O
67,250mg,B-DOSAGE
67,of,O
67,DrugC,O
68,Patients,O
68,experienced,O
68,headache,B-SYMPTOM
68,following,O
68,5mg,B-DOSAGE
68,of,O
68,DrugB,O
69,Patients,O
69,experienced,O
69,fever,B-SYMPTOM
69,following,O
69,75mg,B-DOSAGE
69,of,O
69,DrugC,O
70,Patients,O
70,experienced,O
70,rash,B-SYMPTOM
70,post-treatment,O
70,with,O
70,100mg,B-DOSAGE
70,of,O
70,DrugB,O
71,Patients,O
71,experienced,O
71,dizziness,B-SYMPTOM
71,during,O
71,the,O
71,course,O
71,of,O
71,250mg,B-DOSAGE
71,of,O
71,DrugY,O
72,Patients,O
72,experienced,O
72,fatigue,B-SYMPTOM
72,during,O
72,the,O
72,course,O
72,of,O
72,50mg,B-DOSAGE
72,of,O
72,DrugX,O
73,Patients,O
73,experienced,O
73,dizziness,B-SYMPTOM
73,following,O
73,5mg,B-DOSAGE
73,of,O
73,DrugX,O
74,Patients,O
74,experienced,O
74,fever,B-SYMPTOM
74,during,O
74,the,O
74,course,O
74,of,O
74,5mg,B-DOSAGE
74,of,O
74,DrugB,O
75,Patients,O
75,experienced,O
75,fatigue,B-SYMPTOM
75,during,O
75,the,O
75,course,O
75,of,O
75,250mg,B-DOSAGE
75,of,O
75,DrugA,O
76,Patients,O
76,experienced,O
76,headache,B-SYMPTOM
76,post-treatment,O
76,with,O
76,200mg,B-DOSAGE
76,of,O
76,DrugB,O
77,Patients,O
77,experienced,O
77,vomiting,B-SYMPTOM
77,post-treatment,O
77,with,O
77,250mg,B-DOSAGE
77,of,O
77,DrugA,O
78,Patients,O
78,experienced,O
78,fatigue,B-SYMPTOM
78,after,O
78,taking,O
78,100mg,B-DOSAGE
78,of,O
78,DrugZ,O
79,Patients,O
79,experienced,O
79,rash,B-SYMPTOM
79,after,O
79,administration,O
79,of,O
79,75mg,B-DOSAGE
79,of,O
79,DrugZ,O
80,Patients,O
80,experienced,O
80,cough,B-SYMPTOM
80,after,O
80,taking,O
80,500mg,B-DOSAGE
80,of,O
80,DrugE,O
81,Patients,O
81,experienced,O
81,fatigue,B-SYMPTOM
81,post-treatment,O
81,with,O
81,75mg,B-DOSAGE
81,of,O
81,DrugX,O
82,Patients,O
82,experienced,O
82,cough,B-SYMPTOM
82,following,O
82,100mg,B-DOSAGE
82,of,O
82,DrugA,O
83,Patients,O
83,experienced,O
83,nausea,B-SYMPTOM
83,during,O
83,the,O
83,course,O
83,of,O
83,5mg,B-DOSAGE
83,of,O
83,DrugB,O
84,Patients,O
84,experienced,O
84,rash,B-SYMPTOM
84,post-treatment,O
84,with,O
84,500mg,B-DOSAGE
84,of,O
84,DrugB,O
85,Patients,O
85,experienced,O
85,headache,B-SYMPTOM
85,following,O
85,500mg,B-DOSAGE
85,of,O
85,DrugD,O
86,Patients,O
86,experienced,O
86,fatigue,B-SYMPTOM
86,during,O
86,the,O
86,course,O
86,of,O
86,75mg,B-DOSAGE
86,of,O
86,DrugY,O
87,Patients,O
87,experienced,O
87,rash,B-SYMPTOM
87,post-treatment,O
87,with,O
87,200mg,B-DOSAGE
87,of,O
87,DrugA,O
88,Patients,O
88,experienced,O
88,fatigue,B-SYMPTOM
88,after,O
88,administration,O
88,of,O
88,200mg,B-DOSAGE
88,of,O
88,DrugD,O
89,Patients,O
89,experienced,O
89,vomiting,B-SYMPTOM
89,during,O
89,the,O
89,course,O
89,of,O
89,250mg,B-DOSAGE
89,of,O
89,DrugA,O
90,Patients,O
90,experienced,O
90,fatigue,B-SYMPTOM
90,following,O
90,50mg,B-DOSAGE
90,of,O
90,DrugA,O
91,Patients,O
91,experienced,O
91,fatigue,B-SYMPTOM
91,after,O
91,administration,O
91,of,O
91,200mg,B-DOSAGE
91,of,O
91,DrugZ,O
92,Patients,O
92,experienced,O
92,rash,B-SYMPTOM
92,after,O
92,taking,O
92,100mg,B-DOSAGE
92,of,O
92,DrugD,O
93,Patients,O
93,experienced,O
93,cough,B-SYMPTOM
93,following,O
93,50mg,B-DOSAGE
93,of,O
93,DrugZ,O
94,Patients,O
94,experienced,O
94,headache,B-SYMPTOM
94,after,O
94,taking,O
94,50mg,B-DOSAGE
94,of,O
94,DrugC,O
95,Patients,O
95,experienced,O
95,nausea,B-SYMPTOM
95,post-treatment,O
95,with,O
95,10mg,B-DOSAGE
95,of,O
95,DrugC,O
96,Patients,O
96,experienced,O
96,dizziness,B-SYMPTOM
96,post-treatment,O
96,with,O
96,10mg,B-DOSAGE
96,of,O
96,DrugC,O
97,Patients,O
97,experienced,O
97,nausea,B-SYMPTOM
97,after,O
97,taking,O
97,5mg,B-DOSAGE
97,of,O
97,DrugB,O
98,Patients,O
98,experienced,O
98,fever,B-SYMPTOM
98,following,O
98,500mg,B-DOSAGE
98,of,O
98,DrugE,O
99,Patients,O
99,experienced,O
99,rash,B-SYMPTOM
99,following,O
99,500mg,B-DOSAGE
99,of,O
99,DrugA,O
100,Patients,O
100,experienced,O
100,dizziness,B-SYMPTOM
100,during,O
100,the,O
100,course,O
100,of,O
100,200mg,B-DOSAGE
100,of,O
100,DrugA,O
101,Patients,O
101,experienced,O
101,dizziness,B-SYMPTOM
101,after,O
101,taking,O
101,500mg,B-DOSAGE
101,of,O
101,DrugX,O
102,Patients,O
102,experienced,O
102,cough,B-SYMPTOM
102,post-treatment,O
102,with,O
102,10mg,B-DOSAGE
102,of,O
102,DrugE,O
103,Patients,O
103,experienced,O
103,rash,B-SYMPTOM
103,post-treatment,O
103,with,O
103,500mg,B-DOSAGE
103,of,O
103,DrugD,O
104,Patients,O
104,experienced,O
104,vomiting,B-SYMPTOM
104,during,O
104,the,O
104,course,O
104,of,O
104,500mg,B-DOSAGE
104,of,O
104,DrugB,O
105,Patients,O
105,experienced,O
105,dizziness,B-SYMPTOM
105,following,O
105,200mg,B-DOSAGE
105,of,O
105,DrugE,O
106,Patients,O
106,experienced,O
106,rash,B-SYMPTOM
106,during,O
106,the,O
106,course,O
106,of,O
106,250mg,B-DOSAGE
106,of,O
106,DrugB,O
107,Patients,O
107,experienced,O
107,nausea,B-SYMPTOM
107,following,O
107,10mg,B-DOSAGE
107,of,O
107,DrugZ,O
108,Patients,O
108,experienced,O
108,headache,B-SYMPTOM
108,after,O
108,taking,O
108,10mg,B-DOSAGE
108,of,O
108,DrugY,O
109,Patients,O
109,experienced,O
109,fatigue,B-SYMPTOM
109,during,O
109,the,O
109,course,O
109,of,O
109,75mg,B-DOSAGE
109,of,O
109,DrugZ,O
110,Patients,O
110,experienced,O
110,headache,B-SYMPTOM
110,after,O
110,taking,O
110,5mg,B-DOSAGE
110,of,O
110,DrugX,O
111,Patients,O
111,experienced,O
111,dizziness,B-SYMPTOM
111,after,O
111,administration,O
111,of,O
111,75mg,B-DOSAGE
111,of,O
111,DrugC,O
112,Patients,O
112,experienced,O
112,vomiting,B-SYMPTOM
112,during,O
112,the,O
112,course,O
112,of,O
112,500mg,B-DOSAGE
112,of,O
112,DrugX,O
113,Patients,O
113,experienced,O
113,nausea,B-SYMPTOM
113,post-treatment,O
113,with,O
113,50mg,B-DOSAGE
113,of,O
113,DrugD,O
114,Patients,O
114,experienced,O
114,nausea,B-SYMPTOM
114,following,O
114,10mg,B-DOSAGE
114,of,O
114,DrugC,O
115,Patients,O
115,experienced,O
115,dizziness,B-SYMPTOM
115,during,O
115,the,O
115,course,O
115,of,O
115,10mg,B-DOSAGE
115,of,O
115,DrugA,O
116,Patients,O
116,experienced,O
116,headache,B-SYMPTOM
116,during,O
116,the,O
116,course,O
116,of,O
116,250mg,B-DOSAGE
116,of,O
116,DrugX,O
117,Patients,O
117,experienced,O
117,headache,B-SYMPTOM
117,following,O
117,100mg,B-DOSAGE
117,of,O
117,DrugC,O
118,Patients,O
118,experienced,O
118,dizziness,B-SYMPTOM
118,during,O
118,the,O
118,course,O
118,of,O
118,75mg,B-DOSAGE
118,of,O
118,DrugY,O
119,Patients,O
119,experienced,O
119,dizziness,B-SYMPTOM
119,post-treatment,O
119,with,O
119,75mg,B-DOSAGE
119,of,O
119,DrugE,O
120,Patients,O
120,experienced,O
120,rash,B-SYMPTOM
120,after,O
120,administration,O
120,of,O
120,100mg,B-DOSAGE
120,of,O
120,DrugD,O
121,Patients,O
121,experienced,O
121,fever,B-SYMPTOM
121,following,O
121,10mg,B-DOSAGE
121,of,O
121,DrugY,O
122,Patients,O
122,experienced,O
122,headache,B-SYMPTOM
122,following,O
122,10mg,B-DOSAGE
122,of,O
122,DrugZ,O
123,Patients,O
123,experienced,O
123,headache,B-SYMPTOM
123,following,O
123,200mg,B-DOSAGE
123,of,O
123,DrugE,O
124,Patients,O
124,experienced,O
124,vomiting,B-SYMPTOM
124,during,O
124,the,O
124,course,O
124,of,O
124,250mg,B-DOSAGE
124,of,O
124,DrugX,O
125,Patients,O
125,experienced,O
125,fever,B-SYMPTOM
125,after,O
125,taking,O
125,100mg,B-DOSAGE
125,of,O
125,DrugY,O
126,Patients,O
126,experienced,O
126,rash,B-SYMPTOM
126,after,O
126,taking,O
126,5mg,B-DOSAGE
126,of,O
126,DrugZ,O
127,Patients,O
127,experienced,O
127,cough,B-SYMPTOM
127,during,O
127,the,O
127,course,O
127,of,O
127,50mg,B-DOSAGE
127,of,O
127,DrugD,O
128,Patients,O
128,experienced,O
128,fever,B-SYMPTOM
128,after,O
128,administration,O
128,of,O
128,250mg,B-DOSAGE
128,of,O
128,DrugY,O
129,Patients,O
129,experienced,O
129,fatigue,B-SYMPTOM
129,post-treatment,O
129,with,O
129,10mg,B-DOSAGE
129,of,O
129,DrugD,O
130,Patients,O
130,experienced,O
130,headache,B-SYMPTOM
130,after,O
130,taking,O
130,50mg,B-DOSAGE
130,of,O
130,DrugY,O
131,Patients,O
131,experienced,O
131,fever,B-SYMPTOM
131,after,O
131,taking,O
131,5mg,B-DOSAGE
131,of,O
131,DrugX,O
132,Patients,O
132,experienced,O
132,fever,B-SYMPTOM
132,following,O
132,10mg,B-DOSAGE
132,of,O
132,DrugX,O
133,Patients,O
133,experienced,O
133,rash,B-SYMPTOM
133,post-treatment,O
133,with,O
133,100mg,B-DOSAGE
133,of,O
133,DrugY,O
134,Patients,O
134,experienced,O
134,fever,B-SYMPTOM
134,following,O
134,5mg,B-DOSAGE
134,of,O
134,DrugA,O
135,Patients,O
135,experienced,O
135,vomiting,B-SYMPTOM
135,after,O
135,taking,O
135,200mg,B-DOSAGE
135,of,O
135,DrugC,O
136,Patients,O
136,experienced,O
136,fatigue,B-SYMPTOM
136,following,O
136,10mg,B-DOSAGE
136,of,O
136,DrugY,O
137,Patients,O
137,experienced,O
137,vomiting,B-SYMPTOM
137,after,O
137,taking,O
137,10mg,B-DOSAGE
137,of,O
137,DrugZ,O
138,Patients,O
138,experienced,O
138,headache,B-SYMPTOM
138,after,O
138,taking,O
138,500mg,B-DOSAGE
138,of,O
138,DrugC,O
139,Patients,O
139,experienced,O
139,fatigue,B-SYMPTOM
139,post-treatment,O
139,with,O
139,50mg,B-DOSAGE
139,of,O
139,DrugE,O
140,Patients,O
140,experienced,O
140,headache,B-SYMPTOM
140,post-treatment,O
140,with,O
140,500mg,B-DOSAGE
140,of,O
140,DrugE,O
141,Patients,O
141,experienced,O
141,fever,B-SYMPTOM
141,following,O
141,200mg,B-DOSAGE
141,of,O
141,DrugX,O
142,Patients,O
142,experienced,O
142,nausea,B-SYMPTOM
142,post-treatment,O
142,with,O
142,250mg,B-DOSAGE
142,of,O
142,DrugZ,O
143,Patients,O
143,experienced,O
143,headache,B-SYMPTOM
143,during,O
143,the,O
143,course,O
143,of,O
143,50mg,B-DOSAGE
143,of,O
143,DrugC,O
144,Patients,O
144,experienced,O
144,dizziness,B-SYMPTOM
144,during,O
144,the,O
144,course,O
144,of,O
144,500mg,B-DOSAGE
144,of,O
144,DrugC,O
145,Patients,O
145,experienced,O
145,dizziness,B-SYMPTOM
145,following,O
145,50mg,B-DOSAGE
145,of,O
145,DrugC,O
146,Patients,O
146,experienced,O
146,dizziness,B-SYMPTOM
146,during,O
146,the,O
146,course,O
146,of,O
146,50mg,B-DOSAGE
146,of,O
146,DrugB,O
147,Patients,O
147,experienced,O
147,nausea,B-SYMPTOM
147,after,O
147,administration,O
147,of,O
147,250mg,B-DOSAGE
147,of,O
147,DrugX,O
148,Patients,O
148,experienced,O
148,cough,B-SYMPTOM
148,during,O
148,the,O
148,course,O
148,of,O
148,100mg,B-DOSAGE
148,of,O
148,DrugC,O
149,Patients,O
149,experienced,O
149,dizziness,B-SYMPTOM
149,after,O
149,administration,O
149,of,O
149,200mg,B-DOSAGE
149,of,O
149,DrugY,O
150,Patients,O
150,experienced,O
150,nausea,B-SYMPTOM
150,post-treatment,O
150,with,O
150,500mg,B-DOSAGE
150,of,O
150,DrugE,O
151,Patients,O
151,experienced,O
151,headache,B-SYMPTOM
151,after,O
151,taking,O
151,250mg,B-DOSAGE
151,of,O
151,DrugC,O
152,Patients,O
152,experienced,O
152,cough,B-SYMPTOM
152,after,O
152,taking,O
152,5mg,B-DOSAGE
152,of,O
152,DrugX,O
153,Patients,O
153,experienced,O
153,dizziness,B-SYMPTOM
153,following,O
153,200mg,B-DOSAGE
153,of,O
153,DrugY,O
154,Patients,O
154,experienced,O
154,nausea,B-SYMPTOM
154,after,O
154,taking,O
154,100mg,B-DOSAGE
154,of,O
154,DrugA,O
155,Patients,O
155,experienced,O
155,fatigue,B-SYMPTOM
155,after,O
155,administration,O
155,of,O
155,250mg,B-DOSAGE
155,of,O
155,DrugA,O
156,Patients,O
156,experienced,O
156,fatigue,B-SYMPTOM
156,following,O
156,100mg,B-DOSAGE
156,of,O
156,DrugY,O
157,Patients,O
157,experienced,O
157,dizziness,B-SYMPTOM
157,during,O
157,the,O
157,course,O
157,of,O
157,100mg,B-DOSAGE
157,of,O
157,DrugD,O
158,Patients,O
158,experienced,O
158,cough,B-SYMPTOM
158,following,O
158,5mg,B-DOSAGE
158,of,O
158,DrugD,O
159,Patients,O
159,experienced,O
159,cough,B-SYMPTOM
159,following,O
159,500mg,B-DOSAGE
159,of,O
159,DrugE,O
160,Patients,O
160,experienced,O
160,dizziness,B-SYMPTOM
160,post-treatment,O
160,with,O
160,500mg,B-DOSAGE
160,of,O
160,DrugX,O
161,Patients,O
161,experienced,O
161,fatigue,B-SYMPTOM
161,during,O
161,the,O
161,course,O
161,of,O
161,5mg,B-DOSAGE
161,of,O
161,DrugX,O
162,Patients,O
162,experienced,O
162,dizziness,B-SYMPTOM
162,after,O
162,administration,O
162,of,O
162,200mg,B-DOSAGE
162,of,O
162,DrugZ,O
163,Patients,O
163,experienced,O
163,headache,B-SYMPTOM
163,after,O
163,taking,O
163,100mg,B-DOSAGE
163,of,O
163,DrugC,O
164,Patients,O
164,experienced,O
164,nausea,B-SYMPTOM
164,post-treatment,O
164,with,O
164,75mg,B-DOSAGE
164,of,O
164,DrugY,O
165,Patients,O
165,experienced,O
165,fever,B-SYMPTOM
165,following,O
165,10mg,B-DOSAGE
165,of,O
165,DrugB,O
166,Patients,O
166,experienced,O
166,cough,B-SYMPTOM
166,during,O
166,the,O
166,course,O
166,of,O
166,5mg,B-DOSAGE
166,of,O
166,DrugB,O
167,Patients,O
167,experienced,O
167,headache,B-SYMPTOM
167,post-treatment,O
167,with,O
167,250mg,B-DOSAGE
167,of,O
167,DrugX,O
168,Patients,O
168,experienced,O
168,rash,B-SYMPTOM
168,following,O
168,250mg,B-DOSAGE
168,of,O
168,DrugB,O
169,Patients,O
169,experienced,O
169,dizziness,B-SYMPTOM
169,during,O
169,the,O
169,course,O
169,of,O
169,75mg,B-DOSAGE
169,of,O
169,DrugC,O
170,Patients,O
170,experienced,O
170,vomiting,B-SYMPTOM
170,after,O
170,administration,O
170,of,O
170,200mg,B-DOSAGE
170,of,O
170,DrugY,O
171,Patients,O
171,experienced,O
171,fatigue,B-SYMPTOM
171,during,O
171,the,O
171,course,O
171,of,O
171,5mg,B-DOSAGE
171,of,O
171,DrugA,O
172,Patients,O
172,experienced,O
172,headache,B-SYMPTOM
172,after,O
172,administration,O
172,of,O
172,500mg,B-DOSAGE
172,of,O
172,DrugC,O
173,Patients,O
173,experienced,O
173,rash,B-SYMPTOM
173,post-treatment,O
173,with,O
173,50mg,B-DOSAGE
173,of,O
173,DrugX,O
174,Patients,O
174,experienced,O
174,dizziness,B-SYMPTOM
174,following,O
174,200mg,B-DOSAGE
174,of,O
174,DrugY,O
175,Patients,O
175,experienced,O
175,vomiting,B-SYMPTOM
175,after,O
175,taking,O
175,100mg,B-DOSAGE
175,of,O
175,DrugX,O
176,Patients,O
176,experienced,O
176,nausea,B-SYMPTOM
176,after,O
176,taking,O
176,200mg,B-DOSAGE
176,of,O
176,DrugE,O
177,Patients,O
177,experienced,O
177,vomiting,B-SYMPTOM
177,following,O
177,250mg,B-DOSAGE
177,of,O
177,DrugD,O
178,Patients,O
178,experienced,O
178,fever,B-SYMPTOM
178,during,O
178,the,O
178,course,O
178,of,O
178,500mg,B-DOSAGE
178,of,O
178,DrugD,O
179,Patients,O
179,experienced,O
179,dizziness,B-SYMPTOM
179,during,O
179,the,O
179,course,O
179,of,O
179,500mg,B-DOSAGE
179,of,O
179,DrugY,O
180,Patients,O
180,experienced,O
180,vomiting,B-SYMPTOM
180,during,O
180,the,O
180,course,O
180,of,O
180,50mg,B-DOSAGE
180,of,O
180,DrugD,O
181,Patients,O
181,experienced,O
